textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 11/02/2020 03:47:55 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Argentina,Region of the Americas of WHO,Temperate South America,2019,50,12/9/2019,12/15/2019,,222,,0,1,,0,1,0,1,12,13,14,208,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2019,51,12/16/2019,12/22/2019,,150,,0,0,,3,3,0,3,4,7,10,140,No Report
Argentina,Region of the Americas of WHO,Temperate South America,2019,52,12/23/2019,12/29/2019,,52,,0,0,,1,1,0,0,1,1,2,50,No Report
Armenia,European Region of WHO,Western Asia,2019,49,12/2/2019,12/8/2019,,36,0,1,0,,0,1,0,2,0,2,3,,No Report
Armenia,European Region of WHO,Western Asia,2019,50,12/9/2019,12/15/2019,,30,0,3,0,,0,3,0,1,0,1,4,,No Report
Armenia,European Region of WHO,Western Asia,2019,51,12/16/2019,12/22/2019,,23,0,2,0,,0,2,0,1,0,1,3,,No Report
Armenia,European Region of WHO,Western Asia,2019,52,12/23/2019,12/29/2019,,39,0,5,0,,0,5,0,0,2,2,7,,No Report
Armenia,European Region of WHO,Western Asia,2020,1,12/30/2019,1/5/2020,,13,0,5,0,,0,5,0,4,0,4,9,,No Report
Armenia,European Region of WHO,Western Asia,2020,2,1/6/2020,1/12/2020,,30,0,12,0,,0,12,0,3,0,3,15,,No Report
Armenia,European Region of WHO,Western Asia,2020,3,1/13/2020,1/19/2020,,71,0,22,0,,0,22,0,12,0,12,34,,No Report
Armenia,European Region of WHO,Western Asia,2020,4,1/20/2020,1/26/2020,,102,0,42,0,,0,42,0,11,0,11,53,,No Report
Aruba,Region of the Americas of WHO,Central America and Caribbean,2020,1,12/30/2019,1/5/2020,,69,,62,,,,62,5,0,,5,67,2,No Report
Aruba,Region of the Americas of WHO,Central America and Caribbean,2020,2,1/6/2020,1/12/2020,,18,,17,,,,17,,0,0,0,17,1,No Report
Aruba,Region of the Americas of WHO,Central America and Caribbean,2020,3,1/13/2020,1/19/2020,,10,,10,,,,10,,0,0,0,10,0,No Report
Aruba,Region of the Americas of WHO,Central America and Caribbean,2020,4,1/20/2020,1/26/2020,,41,,35,,,,35,5,0,,5,40,1,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,49,12/2/2019,12/8/2019,959,1214,,13,1,0,37,51,0,0,3,3,54,1160,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,50,12/9/2019,12/15/2019,978,1184,,14,1,0,22,37,0,0,5,5,42,1142,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,51,12/16/2019,12/22/2019,823,823,,0,0,0,18,18,0,0,0,0,18,805,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,52,12/23/2019,12/29/2019,878,878,,0,0,0,25,25,0,0,1,1,26,852,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,1,12/30/2019,1/5/2020,858,1021,,11,3,0,25,39,0,0,3,3,42,979,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,2,1/6/2020,1/12/2020,878,1119,,11,3,0,41,55,0,0,5,5,60,1059,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,3,1/13/2020,1/19/2020,733,947,,21,2,0,30,53,0,0,3,3,56,891,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,4,1/20/2020,1/26/2020,,284,,37,1,,3,41,,,5,5,46,238,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,5,1/27/2020,2/2/2020,,248,,20,4,,8,32,,,2,2,34,214,No Report
Austria,European Region of WHO,South West Europe,2019,49,12/2/2019,12/8/2019,,316,0,0,1,,20,21,0,0,2,2,23,,No Report
Austria,European Region of WHO,South West Europe,2019,50,12/9/2019,12/15/2019,,514,0,2,1,,137,140,0,0,12,12,152,,No Report
Austria,European Region of WHO,South West Europe,2019,51,12/16/2019,12/22/2019,,881,0,12,37,,275,324,0,0,41,41,365,,No Report
Austria,European Region of WHO,South West Europe,2019,52,12/23/2019,12/29/2019,,213,0,9,4,,53,66,0,0,12,12,78,,No Report
Austria,European Region of WHO,South West Europe,2020,1,12/30/2019,1/5/2020,,245,0,8,6,,33,47,0,0,4,4,51,,No Report
Austria,European Region of WHO,South West Europe,2020,2,1/6/2020,1/12/2020,,694,0,10,10,,118,138,0,0,25,25,163,,No Report
Austria,European Region of WHO,South West Europe,2020,3,1/13/2020,1/19/2020,,1008,0,40,27,,274,341,0,0,48,48,389,,No Report
Austria,European Region of WHO,South West Europe,2020,4,1/20/2020,1/26/2020,,1650,0,69,74,,478,621,0,0,121,121,742,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,49,12/2/2019,12/8/2019,,16,0,0,0,,8,8,0,0,0,0,8,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,50,12/9/2019,12/15/2019,,4,0,0,0,,2,2,0,0,0,0,2,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,51,12/16/2019,12/22/2019,,15,0,0,0,,8,8,0,0,0,0,8,,No Report
Azerbaijan,European Region of WHO,Western Asia,2019,52,12/23/2019,12/29/2019,,32,0,0,0,,11,11,0,0,0,0,11,,No Report
Azerbaijan,European Region of WHO,Western Asia,2020,1,12/30/2019,1/5/2020,,9,0,0,0,,4,4,0,0,0,0,4,,No Report
Azerbaijan,European Region of WHO,Western Asia,2020,2,1/6/2020,1/12/2020,,21,0,0,0,,11,11,0,0,0,0,11,,No Report
Azerbaijan,European Region of WHO,Western Asia,2020,3,1/13/2020,1/19/2020,,32,0,0,0,,8,8,0,0,2,2,10,,No Report
Azerbaijan,European Region of WHO,Western Asia,2020,4,1/20/2020,1/26/2020,,15,0,0,0,,3,3,0,0,1,1,4,,No Report
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,49,12/2/2019,12/8/2019,25,25,,4,3,0,0,7,0,3,0,3,10,14,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,50,12/9/2019,12/15/2019,32,29,,5,5,0,0,10,0,3,0,3,13,13,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,51,12/16/2019,12/22/2019,14,14,,1,3,0,0,4,0,1,0,1,5,8,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,52,12/23/2019,12/29/2019,33,33,,6,2,0,0,8,0,2,0,2,10,22,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2020,1,12/30/2019,1/5/2020,22,21,,3,4,0,0,7,0,2,0,2,9,9,Sporadic
Bangladesh,South-East Asia Region of WHO,Southern Asia,2019,49,12/2/2019,12/8/2019,189,158,,0,1,0,0,1,0,1,0,1,2,156,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,2019,50,12/9/2019,12/15/2019,194,146,,0,0,0,6,6,0,2,0,2,8,140,Regional Outbreak
Bangladesh,South-East Asia Region of WHO,Southern Asia,2019,51,12/16/2019,12/22/2019,179,122,,0,0,0,0,0,0,0,0,0,0,122,No Activity
Bangladesh,South-East Asia Region of WHO,Southern Asia,2019,52,12/23/2019,12/29/2019,138,96,,2,1,0,0,3,0,0,0,0,3,93,Sporadic
Bangladesh,South-East Asia Region of WHO,Southern Asia,2020,1,12/30/2019,1/5/2020,164,140,,2,2,0,0,4,0,0,0,0,4,136,Regional Outbreak
Bangladesh,South-East Asia Region of WHO,Southern Asia,2020,2,1/6/2020,1/12/2020,203,149,,0,0,0,0,0,0,0,0,0,0,149,No Activity
Bangladesh,South-East Asia Region of WHO,Southern Asia,2020,3,1/13/2020,1/19/2020,184,132,,3,0,0,0,3,0,0,0,0,3,132,Local Outbreak
Bangladesh,South-East Asia Region of WHO,Southern Asia,2020,4,1/20/2020,1/26/2020,51,51,,1,1,0,0,2,0,0,0,0,2,49,Sporadic
Belarus,European Region of WHO,Eastern Europe,2020,3,1/13/2020,1/19/2020,,154,0,5,0,,0,5,0,0,1,1,6,,No Report
Belgium,European Region of WHO,South West Europe,2019,49,12/2/2019,12/8/2019,,15,0,0,0,,0,0,0,1,0,1,1,,No Report
Belgium,European Region of WHO,South West Europe,2019,50,12/9/2019,12/15/2019,,16,0,1,1,,0,2,0,2,0,2,4,,No Report
Belgium,European Region of WHO,South West Europe,2019,51,12/16/2019,12/22/2019,,14,0,4,2,,0,6,0,1,0,1,7,,No Report
Belgium,European Region of WHO,South West Europe,2019,52,12/23/2019,12/29/2019,,9,0,0,5,,0,5,0,0,0,0,5,,No Report
Belgium,European Region of WHO,South West Europe,2020,1,12/30/2019,1/5/2020,,18,0,4,4,,0,8,0,1,0,1,9,,No Report
Belgium,European Region of WHO,South West Europe,2020,2,1/6/2020,1/12/2020,,24,0,11,3,,7,21,0,0,0,0,21,,No Report
Belgium,European Region of WHO,South West Europe,2020,3,1/13/2020,1/19/2020,,19,0,2,1,,7,10,0,0,0,0,10,,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2019,49,12/2/2019,12/8/2019,,11,0,0,0,,0,0,0,0,0,0,0,11,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2019,50,12/9/2019,12/15/2019,,11,0,0,0,,0,0,0,0,0,0,0,11,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2019,51,12/16/2019,12/22/2019,,12,0,0,0,,0,0,0,0,0,0,0,12,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2019,52,12/23/2019,12/29/2019,,3,0,0,0,,0,0,0,0,0,0,0,3,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2020,1,12/30/2019,1/5/2020,,5,,,,,,0,,0,0,0,0,5,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2020,2,1/6/2020,1/12/2020,,6,,1,,,,1,,0,0,0,1,5,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2020,3,1/13/2020,1/19/2020,,6,,,,,2,2,,0,0,0,2,4,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2020,4,1/20/2020,1/26/2020,,17,,1,,,1,2,,0,2,2,4,13,No Report
Belize,Region of the Americas of WHO,Central America and Caribbean,2020,5,1/27/2020,2/2/2020,,46,,1,,,,1,,0,0,0,1,45,No Report
Bhutan,South-East Asia Region of WHO,Southern Asia,2019,49,12/2/2019,12/8/2019,16,16,,0,0,,,0,0,0,0,0,0,16,No Report
Bhutan,South-East Asia Region of WHO,Southern Asia,2019,50,12/9/2019,12/15/2019,26,26,,1,0,,,1,0,0,0,0,1,25,No Report
Bhutan,South-East Asia Region of WHO,Southern Asia,2019,51,12/16/2019,12/22/2019,20,20,,0,0,,,0,0,0,0,0,0,20,No Report
Bhutan,South-East Asia Region of WHO,Southern Asia,2019,52,12/23/2019,12/29/2019,27,27,,1,0,,,1,0,1,,1,2,25,No Report
Bhutan,South-East Asia Region of WHO,Southern Asia,2020,1,12/30/2019,1/5/2020,19,19,,0,0,,,0,0,0,0,0,0,19,No Report
Bhutan,South-East Asia Region of WHO,Southern Asia,2020,2,1/6/2020,1/12/2020,33,26,,0,0,,,0,0,2,,2,2,24,No Report
Bhutan,South-East Asia Region of WHO,Southern Asia,2020,3,1/13/2020,1/19/2020,26,21,,2,0,,,2,0,2,,2,4,17,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2019,49,12/2/2019,12/8/2019,,25,0,1,0,,0,1,0,0,0,0,1,24,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2019,50,12/9/2019,12/15/2019,,24,0,0,0,,0,0,0,3,0,3,3,21,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2019,51,12/16/2019,12/22/2019,,25,0,1,0,,0,1,0,1,0,1,2,23,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2019,52,12/23/2019,12/29/2019,,26,0,0,0,,0,0,0,2,0,2,2,24,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2020,1,12/30/2019,1/5/2020,,16,0,1,0,,0,1,0,0,0,0,1,15,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2020,2,1/6/2020,1/12/2020,,25,0,0,0,,0,0,0,1,0,1,1,24,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2020,3,1/13/2020,1/19/2020,,17,0,2,0,,0,2,0,0,0,0,2,15,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2020,4,1/20/2020,1/26/2020,,11,0,1,0,,0,1,0,2,0,2,3,8,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2020,5,1/27/2020,2/2/2020,,12,0,1,0,,0,1,0,0,0,0,1,11,No Report
Bolivia (Plurinational State of),Region of the Americas of WHO,Tropical South America,2020,6,2/3/2020,2/9/2020,,9,0,0,0,,0,0,0,0,0,0,0,9,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2019,49,12/2/2019,12/8/2019,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2019,50,12/9/2019,12/15/2019,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2019,51,12/16/2019,12/22/2019,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2019,52,12/23/2019,12/29/2019,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2020,1,12/30/2019,1/5/2020,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2020,2,1/6/2020,1/12/2020,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2020,3,1/13/2020,1/19/2020,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Bosnia and Herzegovina,European Region of WHO,South West Europe,2020,4,1/20/2020,1/26/2020,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2019,49,12/2/2019,12/8/2019,,207,,2,,,,2,,0,14,14,16,191,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2019,50,12/9/2019,12/15/2019,,50,,4,,,,4,,0,18,18,22,28,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2019,51,12/16/2019,12/22/2019,,7,,,,,,0,,1,0,1,1,6,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2020,1,12/30/2019,1/5/2020,,105,,1,,,,1,,0,8,8,9,96,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2020,2,1/6/2020,1/12/2020,,118,,2,,,,2,,0,3,3,5,113,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2020,3,1/13/2020,1/19/2020,,221,,6,,,,6,,0,12,12,18,203,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2020,4,1/20/2020,1/26/2020,,232,,15,3,,,18,,0,10,10,28,204,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2020,5,1/27/2020,2/2/2020,,159,,11,1,,,12,,0,30,30,42,117,No Report
Brazil,Region of the Americas of WHO,Tropical South America,2020,6,2/3/2020,2/9/2020,,138,,2,1,,,3,,0,6,6,9,129,No Report
Bulgaria,European Region of WHO,Eastern Europe,2019,49,12/2/2019,12/8/2019,,16,0,0,0,,0,0,0,0,0,0,0,,No Report
Bulgaria,European Region of WHO,Eastern Europe,2019,50,12/9/2019,12/15/2019,,19,0,0,0,,0,0,0,0,0,0,0,,No Report
Bulgaria,European Region of WHO,Eastern Europe,2019,51,12/16/2019,12/22/2019,,21,0,2,0,,0,2,0,0,0,0,2,,No Report
Bulgaria,European Region of WHO,Eastern Europe,2019,52,12/23/2019,12/29/2019,,6,0,0,2,,0,2,0,0,0,0,2,,No Report
Bulgaria,European Region of WHO,Eastern Europe,2020,1,12/30/2019,1/5/2020,,16,0,3,2,,0,5,0,1,0,1,6,,No Report
Bulgaria,European Region of WHO,Eastern Europe,2020,2,1/6/2020,1/12/2020,,54,0,9,11,,0,20,0,2,0,2,22,,No Report
Bulgaria,European Region of WHO,Eastern Europe,2020,3,1/13/2020,1/19/2020,,134,34,0,32,,0,66,0,10,0,10,76,,No Report
Bulgaria,European Region of WHO,Eastern Europe,2020,4,1/20/2020,1/26/2020,,353,0,59,110,,0,169,0,26,2,28,197,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,49,12/2/2019,12/8/2019,4,4,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,50,12/9/2019,12/15/2019,8,8,,1,1,0,0,2,0,1,0,1,3,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,51,12/16/2019,12/22/2019,8,8,,0,1,0,0,1,0,1,0,1,2,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,52,12/23/2019,12/29/2019,3,3,,0,0,0,0,0,0,1,0,1,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2020,1,12/30/2019,1/5/2020,4,4,,0,0,0,0,0,0,1,0,1,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2020,2,1/6/2020,1/12/2020,5,5,,0,0,0,0,0,0,1,0,1,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2020,3,1/13/2020,1/19/2020,1,1,,0,0,0,0,0,0,0,0,0,0,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2019,49,12/2/2019,12/8/2019,,20,0,2,5,0,,7,0,1,,1,8,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2019,50,12/9/2019,12/15/2019,,20,0,3,2,0,,5,0,0,0,0,5,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2019,51,12/16/2019,12/22/2019,,29,0,0,4,0,,4,0,0,0,0,4,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2019,52,12/23/2019,12/29/2019,,18,0,0,4,0,,4,0,0,0,0,4,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2020,1,12/30/2019,1/5/2020,,22,0,1,4,0,,5,0,0,0,0,5,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2020,2,1/6/2020,1/12/2020,,23,0,1,1,0,,2,0,0,0,0,2,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2020,3,1/13/2020,1/19/2020,,18,0,1,4,0,,5,0,0,0,0,5,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2020,4,1/20/2020,1/26/2020,,28,0,3,3,0,,6,0,0,0,0,6,,No Report
Cambodia,Western Pacific Region of WHO,South-East Asia,2020,5,1/27/2020,2/2/2020,,31,0,4,4,0,,8,0,0,0,0,8,,No Report
Canada,Region of the Americas of WHO,North America,2019,49,12/2/2019,12/8/2019,8108,8108,,41,79,,281,401,,,336,336,737,,No Report
Canada,Region of the Americas of WHO,North America,2019,50,12/9/2019,12/15/2019,8229,8229,,73,100,,463,636,,,654,654,1290,,No Report
Canada,Region of the Americas of WHO,North America,2019,51,12/16/2019,12/22/2019,9790,9790,,169,149,,730,1048,,,1078,1078,2126,,No Report
Canada,Region of the Americas of WHO,North America,2019,52,12/23/2019,12/29/2019,10455,10455,,174,221,,1166,1561,,,1370,1370,2931,,No Report
Canada,Region of the Americas of WHO,North America,2020,1,12/30/2019,1/5/2020,14932,14932,,431,261,,1620,2312,,,1533,1533,3845,,No Report
Canada,Region of the Americas of WHO,North America,2020,2,1/6/2020,1/12/2020,15580,15580,,493,165,,1690,2348,,,1463,1463,3811,,No Report
Canada,Region of the Americas of WHO,North America,2020,3,1/13/2020,1/19/2020,13755,13755,,414,131,,1587,2132,,,1418,1418,3550,,No Report
Canada,Region of the Americas of WHO,North America,2020,4,1/20/2020,1/26/2020,15413,15413,,368,126,,1736,2230,,,1952,1952,4182,,No Report
Canada,Region of the Americas of WHO,North America,2020,5,1/27/2020,2/2/2020,15207,15207,,403,78,,1794,2275,,,2147,2147,4422,,No Report
Chile,Region of the Americas of WHO,Temperate South America,2019,49,12/2/2019,12/8/2019,,486,,1,1,,,2,2,1,5,8,10,476,No Report
Chile,Region of the Americas of WHO,Temperate South America,2019,50,12/9/2019,12/15/2019,,477,,,2,,1,3,1,1,1,3,6,471,No Report
Chile,Region of the Americas of WHO,Temperate South America,2019,51,12/16/2019,12/22/2019,,513,,,3,,,3,,0,4,4,7,506,No Report
Chile,Region of the Americas of WHO,Temperate South America,2019,52,12/23/2019,12/29/2019,,401,,,1,,,1,,0,4,4,5,396,No Report
Chile,Region of the Americas of WHO,Temperate South America,2020,1,12/30/2019,1/5/2020,,360,,1,,,1,2,,0,1,1,3,357,No Report
Chile,Region of the Americas of WHO,Temperate South America,2020,2,1/6/2020,1/12/2020,,399,,3,,,,3,1,0,3,4,7,392,No Report
Chile,Region of the Americas of WHO,Temperate South America,2020,3,1/13/2020,1/19/2020,,353,,8,2,,,10,1,0,2,3,13,340,No Report
Chile,Region of the Americas of WHO,Temperate South America,2020,4,1/20/2020,1/26/2020,,392,,5,,,,5,,0,2,2,7,385,No Report
Chile,Region of the Americas of WHO,Temperate South America,2020,5,1/27/2020,2/2/2020,,371,,6,,,1,7,,0,1,1,8,363,No Report
China,Western Pacific Region of WHO,Eastern Asia,2019,49,12/2/2019,12/8/2019,21032,16760,,137,2027,,,2164,1,545,5,551,2715,4683,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2019,50,12/9/2019,12/15/2019,25307,18799,,194,3240,,,3434,3,848,35,886,4320,5527,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2019,51,12/16/2019,12/22/2019,5974,19335,,371,4029,,,4400,3,1204,33,1240,5640,5680,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2019,52,12/23/2019,12/29/2019,26570,18812,,479,4506,,,4985,1,1399,30,1430,6415,5000,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2020,1,12/30/2019,1/5/2020,20199,15422,,609,3440,,,4049,1,1139,29,1169,5218,5106,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2020,2,1/6/2020,1/12/2020,20898,17017,,1170,3282,,,4452,4,1279,46,1329,5781,5681,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2020,3,1/13/2020,1/19/2020,6348,6348,,928,189,,,1117,0,3,39,42,1159,5185,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2020,4,1/20/2020,1/26/2020,6370,6370,,1005,154,,,1159,0,1,46,47,1206,5160,Regional Outbreak
Colombia,Region of the Americas of WHO,Tropical South America,2019,49,12/2/2019,12/8/2019,,262,,26,10,,,36,8,0,6,14,50,212,No Report
Colombia,Region of the Americas of WHO,Tropical South America,2019,50,12/9/2019,12/15/2019,,163,,13,13,,,26,5,0,3,8,34,129,No Report
Colombia,Region of the Americas of WHO,Tropical South America,2019,51,12/16/2019,12/22/2019,,146,,11,3,,,14,6,0,3,9,23,123,No Report
Colombia,Region of the Americas of WHO,Tropical South America,2019,52,12/23/2019,12/29/2019,,144,,10,1,,,11,6,0,3,9,20,124,No Report
Colombia,Region of the Americas of WHO,Tropical South America,2020,1,12/30/2019,1/5/2020,,182,,21,2,,,23,,0,4,4,27,155,No Report
Colombia,Region of the Americas of WHO,Tropical South America,2020,2,1/6/2020,1/12/2020,,184,,20,1,,,21,,0,3,3,24,160,No Report
